orden__creado_en,producto__nombre,cantidad,precio_unitario
2026-04-17 15:25:41.801535,Pisco Sour,2,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Pisco Sour,2,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Pisco Sour,2,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Pisco Sour,2,25.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Pisco Sour,2,25.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Pisco Sour,2,25.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,3,18.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Pisco Sour,2,25.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Combinado Especial,3,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.801535,Pisco Sour,3,25.00
2026-04-17 15:25:41.801535,Anticucho Simple,2,18.00
2026-04-17 15:25:41.801535,Pisco Sour,1,25.00
2026-04-17 15:25:41.801535,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.801535,Combinado Especial,2,35.00
2026-04-17 15:25:41.801535,Anticucho Simple,1,18.00
2026-04-17 15:25:41.801535,Pisco Sour,2,25.00
2026-04-17 15:25:41.801535,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,2,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,3,18.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Combinado Especial,2,35.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,3,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Anticucho Simple,1,18.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Combinado Especial,1,35.00
2026-04-17 15:25:41.795422,Pisco Sour,2,25.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Chicha Morada 1L,1,12.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Pisco Sour,1,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
2026-04-17 15:25:41.795422,Combinado Especial,3,35.00
2026-04-17 15:25:41.795422,Pisco Sour,3,25.00
2026-04-17 15:25:41.795422,Anticucho Simple,2,18.00
